index,raw_adc
0,1
1,0
2,3
3,0
4,3
5,1
6,3
7,3
8,3
9,3
10,1
11,1
12,3
13,3
14,3
15,3
16,1
17,3
18,1
19,1
20,3
21,1
22,3
23,1
24,3
25,3
26,3
27,3
28,3
29,1
30,3
31,3
32,3
33,3
34,3
35,3
36,3
37,1
38,3
39,3
40,3
41,1
42,1
43,3
44,2
45,1
46,1
47,3
48,3
49,3
50,3
51,3
52,3
53,1
54,1
55,3
56,3
57,3
58,0
59,3
60,1
61,3
62,3
63,3
64,3
65,3
66,3
67,3
68,3
69,3
70,3
71,3
72,3
73,1
74,3
75,3
76,3
77,3
78,3
79,3
80,3
81,1
82,3
83,3
84,1
85,3
86,0
87,0
88,1
89,0
90,1
91,3
92,3
93,3
94,3
95,1
96,3
97,3
98,1
99,3
100,3
101,3
102,3
103,3
104,3
105,3
106,1
107,1
108,1
109,1
110,1
111,3
112,3
113,2
114,3
115,1
116,1
117,3
118,1
119,1
120,3
121,1
122,3
123,3
124,3
125,3
126,3
127,3
128,1
129,3
130,3
131,3
132,3
133,3
134,3
135,3
136,0
137,3
138,1
139,3
140,3
141,1
142,3
143,3
144,3
145,3
146,3
147,3
148,3
149,3
150,3
151,1
152,3
153,1
154,2
155,3
156,3
157,3
158,1
159,1
160,3
161,3
162,3
163,3
164,3
165,1
166,3
167,0
168,1
169,3
170,3
171,3
172,3
173,3
174,1
175,3
176,3
177,1
178,1
179,3
180,3
181,3
182,3
183,3
184,1
185,3
186,3
187,1
188,3
189,3
190,3
191,3
192,3
193,3
194,3
195,3
196,3
197,1
198,3
199,3
200,3
201,3
202,1
203,3
204,3
205,3
206,3
207,0
208,3
209,3
210,0
211,1
212,1
213,3
214,3
215,0
216,2
217,0
218,3
219,3
220,3
221,3
222,1
223,3
224,3
225,1
226,1
227,3
228,3
229,3
230,3
231,3
232,3
233,0
234,1
235,3
236,3
237,1
238,3
239,1
240,3
241,3
242,3
243,3
244,1
245,3
246,1
247,3
248,1
249,3
250,1
251,1
252,1
253,3
254,3
255,3
256,1
257,3
258,3
259,3
260,3
261,1
262,1
263,3
264,3
265,3
266,3
267,3
268,1
269,3
270,3
271,3
272,1
273,3
274,1
275,0
276,3
277,1
278,3
279,3
280,3
281,1
282,3
283,0
284,3
285,3
286,3
287,1
288,1
289,0
290,1
291,1
292,3
293,1
294,1
295,3
296,3
297,0
298,3
299,3
300,3
301,1
302,2
303,1
304,1
305,3
306,1
307,3
308,3
309,3
310,3
311,1
312,3
313,1
314,3
315,3
316,1
317,3
318,3
319,1
320,1
321,3
322,1
323,3
324,3
325,1
326,3
327,1
328,3
329,1
330,1
331,3
332,3
333,3
334,3
335,1
336,2
337,3
338,1
339,1
340,3
341,3
342,3
343,1
344,1
345,1
346,3
347,3
348,3
349,3
350,1
351,3
352,1
353,3
354,1
355,3
356,2
357,3
358,1
359,1
360,1
361,1
362,1
363,3
364,3
365,3
366,1
367,3
368,1
369,1
370,3
371,3
372,3
373,3
374,1
375,3
376,3
377,1
378,3
379,3
380,3
381,3
382,1
383,3
384,3
385,3
386,3
387,3
388,3
389,3
390,1
391,3
392,3
393,3
394,3
395,3
396,3
397,3
398,1
399,1
400,3
401,0
402,1
403,3
404,3
405,3
406,1
407,3
408,3
409,3
410,3
411,1
412,3
413,3
414,3
415,3
416,3
417,3
418,1
419,3
420,3
421,1
422,0
423,1
424,3
425,3
426,3
427,3
428,1
429,3
430,1
431,3
432,3
433,3
434,3
435,3
436,1
437,3
438,3
439,3
440,0
441,1
442,3
443,1
444,3
445,1
446,3
447,3
448,3
449,3
450,1
451,3
452,3
453,3
454,1
455,1
456,3
457,3
458,0
459,1
460,1
461,3
462,1
463,1
464,3
465,3
466,1
467,3
468,3
469,1
470,0
471,3
472,1
473,0
474,3
475,3
476,3
477,3
478,3
479,3
480,1
481,3
482,3
483,3
484,3
485,3
486,2
487,1
488,3
489,1
490,2
491,3
492,3
493,3
494,3
495,3
496,1
497,3
498,1
499,3
500,3
501,3
502,3
503,1
504,1
505,3
506,3
507,2
508,3
509,3
510,3
511,3
512,3
513,3
514,1
515,1
516,0
517,1
518,3
519,3
520,1
521,3
522,3
523,3
524,3
525,3
526,3
527,3
528,3
529,1
530,3
531,3
532,1
533,3
534,3
535,3
536,3
537,3
538,3
539,3
540,3
541,3
542,3
543,3
544,3
545,3
546,1
547,3
548,3
549,3
550,3
551,3
552,1
553,3
554,3
555,3
556,3
557,3
558,3
559,3
560,3
561,3
562,3
563,3
564,1
565,3
566,3
567,3
568,3
569,3
570,3
571,3
572,3
573,1
574,1
575,0
576,3
577,3
578,3
579,3
580,3
581,3
582,3
583,2
584,3
585,2
586,3
587,3
588,3
589,3
590,3
591,3
592,3
593,3
594,2
595,3
596,3
597,1
598,3
599,3
600,3
601,3
602,3
603,3
604,3
605,3
606,3
607,3
608,3
609,3
610,3
611,1
612,3
613,3
614,3
615,1
616,3
617,3
618,3
619,3
620,3
621,3
622,3
623,3
624,3
625,3
626,2
627,3
628,2
629,3
630,3
631,3
632,3
633,3
634,3
635,3
636,3
637,3
638,3
639,3
640,3
641,3
642,3
643,3
644,3
645,3
646,3
647,3
648,3
649,1
650,1
651,3
652,3
653,3
654,3
655,3
656,3
657,3
658,3
659,3
660,3
661,1
662,3
663,3
664,3
665,3
666,3
667,3
668,3
669,3
670,3
671,3
672,3
673,3
674,3
675,2
676,3
677,3
678,3
679,3
680,3
681,3
682,2
683,3
684,3
685,3
686,3
687,3
688,3
689,3
690,2
691,3
692,3
693,1
694,3
695,3
696,3
697,2
698,3
699,3
700,3
701,2
702,1
703,3
704,1
705,3
706,3
707,1
708,3
709,3
710,3
711,2
712,3
713,1
714,1
715,2
716,1
717,2
718,3
719,2
720,2
721,3
722,1
723,3
724,3
725,2
726,3
727,3
728,3
729,3
730,3
731,2
732,3
733,2
734,3
735,1
736,1
737,3
738,0
739,1
740,3
741,3
742,1
743,3
744,3
745,3
746,3
747,1
748,1
749,1
750,3
751,3
752,2
753,3
754,2
755,3
756,3
757,1
758,3
759,1
760,3
761,3
762,3
763,3
764,3
765,1
766,3
767,3
768,3
769,1
770,2
771,1
772,2
773,3
774,2
775,3
776,3
777,3
778,3
779,3
780,2
781,3
782,2
783,3
784,2
785,2
786,2
787,1
788,1
789,2
790,3
791,2
792,3
793,1
794,2
795,3
796,1
797,1
798,1
799,3
800,3
801,3
802,3
803,3
804,1
805,2
806,1
807,1
808,3
809,2
810,3
811,3
812,1
813,1
814,3
815,3
816,3
817,1
818,2
819,3
820,1
821,3
822,3
823,1
824,2
825,3
826,0
827,3
828,1
829,3
830,3
831,1
832,1
833,3
834,3
835,1
836,3
837,1
838,3
839,3
840,3
841,3
842,3
843,3
844,2
845,3
846,1
847,3
848,1
849,2
850,3
851,1
852,3
853,2
854,2
855,1
856,3
857,3
858,1
859,2
860,1
861,3
862,2
863,3
864,2
865,2
866,1
867,3
868,3
869,2
870,1
871,3
872,3
873,2
874,1
875,1
876,1
877,1
878,3
879,2
880,1
881,2
882,3
883,1
884,1
885,2
886,1
887,3
888,3
889,1
890,3
891,2
892,1
893,1
894,1
895,3
896,2
897,1
898,1
899,2
900,3
901,2
902,2
903,1
904,1
905,3
906,3
907,1
908,1
909,0
910,3
911,1
912,3
913,3
914,1
915,3
916,3
917,1
918,3
919,3
920,3
921,3
922,1
923,1
924,3
925,1
926,1
927,1
928,0
929,0
930,3
931,0
932,3
933,3
934,3
935,3
936,3
937,3
938,3
939,3
940,1
941,3
942,3
943,3
944,3
945,3
946,2
947,1
948,3
949,3
950,1
951,3
952,3
953,3
954,3
955,1
956,3
957,3
958,3
959,3
960,3
961,1
962,3
963,3
964,1
965,3
966,1
967,3
968,3
969,3
970,3
971,3
972,3
973,1
974,2
975,0
976,1
977,3
978,3
979,3
980,3
981,3
982,3
983,1
984,3
985,3
986,3
987,3
988,1
989,3
990,1
991,1
992,1
993,3
994,1
995,1
996,3
997,3
998,1
999,1
1000,2
1001,3
1002,3
1003,3
1004,3
1005,1
1006,2
1007,1
1008,1
1009,3
1010,3
1011,3
1012,2
1013,3
1014,2
1015,1
1016,3
1017,3
1018,2
1019,2
1020,1
1021,1
1022,1
1023,1
1024,3
1025,3
1026,0
1027,3
1028,1
1029,1
1030,1
1031,3
1032,1
1033,1
1034,1
1035,1
1036,3
1037,3
1038,1
1039,1
1040,1
1041,2
1042,1
1043,3
1044,3
1045,1
1046,1
1047,3
1048,1
1049,3
1050,1
1051,1
1052,3
1053,2
1054,2
1055,1
1056,1
1057,3
1058,1
1059,1
1060,3
1061,3
1062,3
1063,1
1064,1
1065,1
1066,3
1067,3
1068,3
1069,2
1070,3
1071,3
1072,1
1073,2
1074,3
1075,3
1076,3
1077,1
1078,3
1079,3
1080,3
1081,3
1082,3
1083,2
1084,1
1085,3
1086,3
1087,2
1088,1
1089,3
1090,3
1091,2
1092,3
1093,2
1094,2
1095,3
1096,1
1097,3
1098,3
1099,1
1100,2
1101,2
1102,2
1103,1
1104,3
1105,3
1106,3
1107,3
1108,2
1109,2
1110,3
1111,3
1112,3
1113,3
1114,2
1115,3
1116,3
1117,3
1118,2
1119,3
1120,3
1121,3
1122,3
1123,2
1124,3
1125,1
1126,3
1127,1
1128,3
1129,2
1130,3
1131,3
1132,1
1133,3
1134,1
1135,1
1136,1
1137,1
1138,3
1139,2
1140,2
1141,1
1142,1
1143,0
1144,3
1145,1
1146,3
1147,1
1148,1
1149,3
1150,3
1151,1
1152,0
1153,1
1154,3
1155,2
1156,3
1157,3
1158,3
1159,3
1160,3
1161,3
1162,1
1163,1
1164,1
1165,3
1166,3
1167,3
1168,1
1169,1
1170,3
1171,2
1172,2
1173,0
1174,1
1175,1
1176,3
1177,3
1178,1
1179,3
1180,3
1181,3
1182,1
1183,1
1184,2
1185,1
1186,1
1187,1
1188,2
1189,3
1190,3
1191,2
1192,2
1193,2
1194,1
1195,3
1196,3
1197,1
1198,3
1199,3
1200,3
1201,1
1202,0
1203,1
1204,1
1205,3
1206,1
1207,3
1208,3
1209,3
1210,1
1211,3
1212,3
1213,2
1214,3
1215,3
1216,1
1217,1
1218,3
1219,1
1220,3
1221,2
1222,1
1223,3
1224,3
1225,3
1226,1
1227,2
1228,1
1229,1
